names,indices,min,def,max,p_index,slider_group,slider_type,,,
_choose_cdr_by_type,0,?,1.0,?,208,Technological,advanced_settings,,,
__use_ag_waste_and_energy_industry_oghg_controls_,1,?,0.0,?,209,Methane,advanced_settings,,,
_use_new_tech_advanced_settings,2,?,0.0,?,210,NewTech,advanced_settings,,,
_no_new_coal,3,?,0.0,?,211,Coal,,,,
_no_new_oil,4,?,0.0,?,212,Oil,,,,
_no_new_gas,5,?,0.0,?,213,Gas,,,,
_source_subsidy_delivered_coal_tce,6,-20,0,110,1,Coal,main,,,
_source_subsidy_start_time_delivered_coal,7,2021,2021,2100,2,Coal,,,,
_source_subsidy_stop_time_delivered_coal,8,2021,2100,2100,3,Coal,,,,
_utilization_adjustment_factor_delivered_coal,9,0,0,100,196,Coal,,,,
_utilization_policy_start_time_delivered_coal,10,2021,2021,2100,202,Coal,,,,
_utilization_policy_stop_time_delivered_coal,11,2021,2100,2100,203,Coal,,,,
_year_of_no_new_capacity_coal,12,2021,2025,2100,197,Coal,,,,
_target_accelerated_retirement_rate_electric_coal,13,0,0,10,4,Coal,,,,
_source_subsidy_electric_coal_ccs_kwh,14,-0.03,0,0.03,5,Coal,,,,
_breakthrough_cost_reduction_electric_coal_ccs,15,0,0,50,6,Coal,,,,
_source_subsidy_delivered_oil_boe,16,-15,0,100,7,Oil,main,,,
_source_subsidy_start_time_delivered_oil,17,2021,2021,2100,8,Oil,,,,
_source_subsidy_stop_time_delivered_oil,18,2021,2100,2100,9,Oil,,,,
_utilization_adjustment_factor_delivered_oil,19,0,0,100,198,Oil,,,,
_utilization_policy_start_time_delivered_oil,20,2021,2021,2100,204,Oil,,,,
_utilization_policy_stop_time_delivered_oil,21,2021,2100,2100,205,Oil,,,,
_year_of_no_new_capacity_oil,22,2021,2025,2100,199,Oil,,,,
_source_subsidy_delivered_gas_mcf,23,-1,0,5,10,Gas,main,,,
_source_subsidy_start_time_delivered_gas,24,2021,2021,2100,11,Gas,,,,
_source_subsidy_stop_time_delivered_gas,25,2021,2100,2100,12,Gas,,,,
_utilization_adjustment_factor_delivered_gas,26,0,0,100,200,Gas,,,,
_utilization_policy_start_time_delivered_gas,27,2021,2021,2100,206,Gas,,,,
_utilization_policy_stop_time_delivered_gas,28,2021,2100,2100,207,Gas,,,,
_year_of_no_new_capacity_gas,29,2021,2025,2100,201,Gas,,,,
_percent_ch4_leakage_from_natural_gas,30,1,3,10,,Gas,,,,
_source_subsidy_electric_gas_ccs_kwh,31,-0.03,0,0.03,14,Gas,,,,
_breakthrough_cost_reduction_electric_gas_ccs,32,0,0,50,15,Gas,,,,
_source_subsidy_renewables_kwh,33,-0.03,0,0.02,16,Renewables,main,,,
_source_subsidy_start_time_renewables,34,2021,2021,2100,17,Renewables,,,,
_source_subsidy_stop_time_renewables,35,2021,2100,2100,18,Renewables,,,,
_breakthrough_cost_reduction_renewables,36,0,0,50,19,Renewables,,,,
_breakthrough_success_year_renewables,37,2021,2030,2100,20,Renewables,,,,
_breakthrough_cost_reduction_for_storage,38,0,0,100,21,Renewables,,,,
_breakthrough_success_year_for_storage,39,2021,2030,2100,22,Renewables,,,,
_source_subsidy_delivered_bio_boe,40,-30,0,30,23,Bioenergy,main,,,
_source_subsidy_start_time_delivered_bio,41,2021,2021,2100,24,Bioenergy,,,,
_source_subsidy_stop_time_delivered_bio,42,2021,2100,2100,25,Bioenergy,,,,
_breakthrough_cost_reduction_delivered_bio,43,0,0,50,26,Bioenergy,,,,
_breakthrough_success_year_delivered_bio,44,2021,2030,2100,27,Bioenergy,,,,
_source_subsidy_nuclear_kwh,45,-0.07,0,0.07,30,Nuclear,main,,,
_source_subsidy_start_time_nuclear,46,2021,2021,2100,31,Nuclear,,,,
_source_subsidy_stop_time_nuclear,47,2021,2100,2100,32,Nuclear,,,,
_breakthrough_cost_reduction_nuclear,48,0,0,50,33,Nuclear,,,,
_breakthrough_success_year_nuclear,49,2021,2030,2100,34,Nuclear,,,,
_new_tech_breakthrough_setting,50,?,0.0,?,35,NewTech,,,,
_breakthrough_success_year_new_tech,51,2021,2100,2100,36,NewTech,,,,
_breakthrough_commercialization_time_new_tech,52,1,10,30,37,NewTech,,,,
_initial_new_tech_cost_relative_to_coal,53,0.5,2,10,38,NewTech,,,,
_carbon_tax_initial_target,54,0,0,250,39,CarbonPrice,main,,,
_carbon_tax_phase_1_start,55,2021,2021,2100,40,CarbonPrice,,,,
